origin_city,destination_city,average_time
"Burbank, CA","Las Vegas, NV",60.39
"Burbank, CA","New York, NY",495.18
"Burbank, CA","Oakland, CA",69.82
"Burbank, CA","Phoenix, AZ",109.81
"Burbank, CA","Portland, OR",131.83
"Burbank, CA","Sacramento, CA",72.86
"Burbank, CA","Salt Lake City, UT",164.84
"Burbank, CA","San Francisco, CA",81.68
"Burbank, CA","San Jose, CA",63.36
"Burbank, CA","Seattle, WA",154.27
"Burbank, CA","Tucson, AZ",136.0
"Butte, MT","Salt Lake City, UT",76.76
"Casper, WY","Chicago, IL",212.43
"Casper, WY","Denver, CO",72.16
"Casper, WY","Minneapolis, MN",193.8
"Casper, WY","Salt Lake City, UT",95.14
"Cedar City, UT","Los Angeles, CA",55.0
"Cedar City, UT","Salt Lake City, UT",67.62
"Cedar Rapids, IA","Atlanta, GA",189.62
"Cedar Rapids, IA","Chicago, IL",70.03
"Cedar Rapids, IA","Cincinnati, OH",157.77
"Cedar Rapids, IA","Dallas, TX",128.16
"Cedar Rapids, IA","Denver, CO",67.03
"Cedar Rapids, IA","Detroit, MI",160.24
"Cedar Rapids, IA","Milwaukee, WI",47.0
"Cedar Rapids, IA","Minneapolis, MN",73.41
"Champaign, IL","Chicago, IL",65.19
"Champaign, IL","Dallas, TX",139.21
"Charleston, SC","Atlanta, GA",77.51
"Charleston, SC","Boston, MA",145.57
"Charleston, SC","Charlotte, NC",60.12
"Charleston, SC","Chicago, IL",86.06
"Charleston, SC","Cincinnati, OH",102.59
"Charleston, SC","Cleveland, OH",121.69
"Charleston, SC","Dallas, TX",121.96
"Charleston, SC","Detroit, MI",133.8
"Charleston, SC","Houston, TX",103.5
"Charleston, SC","Memphis, TN",64.87
"Charleston, SC","Minneapolis, MN",134.2
"Charleston, SC","New York, NY",128.39
"Charleston, SC","Newark, NJ",127.96
"Charleston, SC","Washington, DC",91.17
"Charleston, WV","Atlanta, GA",83.18
"Charleston, WV","Chicago, IL",41.2
"Charleston, WV","Cincinnati, OH",59.0
"Charleston, WV","Detroit, MI",93.92
